[0, 0, 0, 0];0;-59
[0, 0, 0, 1];-1.20000000000000;-57.9000000000000
[0, 0, 0, 2];-2.40000000000000;-56.8000000000000
[0, 0, 0, 3];-3.60000000000000;-55.7000000000000
[0, 0, 0, 4];-4.80000000000000;-54.6000000000000
[0, 0, 0, 5];-6.00000000000000;-53.5000000000000
[0, 0, 0, 6];-7.20000000000000;-52.4000000000000
[0, 0, 0, 7];-8.40000000000000;-51.3000000000000
[0, 0, 0, 8];-9.60000000000000;-50.2000000000000
[0, 0, 0, 9];-10.8000000000000;-49.1000000000000
[0, 0, 0, 10];-12.0000000000000;-48.0000000000000
[0, 0, 1, 0];-4.00000000000000;-54.3000000000000
[0, 0, 1, 1];-5.21000000000000;-53.2000000000000
[0, 0, 1, 2];-6.42000000000000;-52.1000000000000
[0, 0, 1, 3];-7.63000000000000;-51.0000000000000
[0, 0, 1, 4];-8.84000000000000;-49.9000000000000
[0, 0, 1, 5];-10.0500000000000;-48.8000000000000
[0, 0, 1, 6];-11.2600000000000;-47.7000000000000
[0, 0, 1, 7];-12.4700000000000;-46.6000000000000
[0, 0, 1, 8];-13.6800000000000;-45.5000000000000
[0, 0, 1, 9];-14.8900000000000;-44.4000000000000
[0, 0, 1, 10];-16.1000000000000;-43.3000000000000
[0, 0, 2, 0];-8.00000000000000;-49.6000000000000
[0, 0, 2, 1];-9.22000000000000;-48.5000000000000
[0, 0, 2, 2];-10.4400000000000;-47.4000000000000
[0, 0, 2, 3];-11.6600000000000;-46.3000000000000
[0, 0, 2, 4];-12.8800000000000;-45.2000000000000
[0, 0, 2, 5];-14.1000000000000;-44.1000000000000
[0, 0, 2, 6];-15.3200000000000;-43.0000000000000
[0, 0, 2, 7];-16.5400000000000;-41.9000000000000
[0, 0, 2, 8];-17.7600000000000;-40.8000000000000
[0, 0, 2, 9];-18.9800000000000;-39.7000000000000
[0, 0, 2, 10];-20.2000000000000;-38.6000000000000
[0, 0, 3, 0];-12.0000000000000;-44.9000000000000
[0, 0, 3, 1];-13.2300000000000;-43.8000000000000
[0, 0, 3, 2];-14.4600000000000;-42.7000000000000
[0, 0, 3, 3];-15.6900000000000;-41.6000000000000
[0, 0, 3, 4];-16.9200000000000;-40.5000000000000
[0, 0, 3, 5];-18.1500000000000;-39.4000000000000
[0, 0, 3, 6];-19.3800000000000;-38.3000000000000
[0, 0, 3, 7];-20.6100000000000;-37.2000000000000
[0, 0, 3, 8];-21.8400000000000;-36.1000000000000
[0, 0, 3, 9];-23.0700000000000;-35.0000000000000
[0, 0, 3, 10];-24.3000000000000;-33.9000000000000
[0, 0, 4, 0];-16.0000000000000;-40.2000000000000
[0, 0, 4, 1];-17.2400000000000;-39.1000000000000
[0, 0, 4, 2];-18.4800000000000;-38.0000000000000
[0, 0, 4, 3];-19.7200000000000;-36.9000000000000
[0, 0, 4, 4];-20.9600000000000;-35.8000000000000
[0, 0, 4, 5];-22.2000000000000;-34.7000000000000
[0, 0, 4, 6];-23.4400000000000;-33.6000000000000
[0, 0, 4, 7];-24.6800000000000;-32.5000000000000
[0, 0, 4, 8];-25.9200000000000;-31.4000000000000
[0, 0, 4, 9];-27.1600000000000;-30.3000000000000
[0, 0, 4, 10];-28.4000000000000;-29.2000000000000
[0, 0, 5, 0];-20.0000000000000;-35.5000000000000
[0, 0, 5, 1];-21.2500000000000;-34.4000000000000
[0, 0, 5, 2];-22.5000000000000;-33.3000000000000
[0, 0, 5, 3];-23.7500000000000;-32.2000000000000
[0, 0, 5, 4];-25.0000000000000;-31.1000000000000
[0, 0, 5, 5];-26.2500000000000;-30.0000000000000
[0, 0, 5, 6];-27.5000000000000;-28.9000000000000
[0, 0, 5, 7];-28.7500000000000;-27.8000000000000
[0, 0, 5, 8];-30.0000000000000;-26.7000000000000
[0, 0, 5, 9];-31.2500000000000;-25.6000000000000
[0, 0, 5, 10];-32.5000000000000;-24.5000000000000
[0, 0, 6, 0];-24.0000000000000;-30.8000000000000
[0, 0, 6, 1];-25.2600000000000;-29.7000000000000
